Address,City,State,Zip,Lat,Lng,Accuracy Score,VANPCTCODE
320 AUDUBON ST,ADAIR,IA,50002,41.50035,-94.6421,1,948199
325 SW 7TH ST,STUART,IA,50250,41.49745,-94.3226,1,948200
318 WASHINGTON ST,FONTANELLE,IA,50846,41.28975,-94.5637,1,948201
201 SCHOOL ST,ORIENT,IA,50858,41.19951,-94.4147,1,948202
410 NW 2ND ST,GREENFIELD,IA,50849,41.3081,-94.4628,1,948203
904 8TH ST,CORNING,IA,50841,40.99015,-94.7394,1,1593415
800 17TH ST,CORNING,IA,50841,40.99868,-94.7373,1,1593416
603 9TH ST,CORNING,IA,50841,40.99077,-94.7352,1,1593417
300 7TH AVE,NODAWAY,IA,50857,40.93711,-94.8941,1,1593418
607 2ND ST,PRESCOTT,IA,50859,41.02309,-94.6101,1,1593419
606 WATERLOO CREEK DRIVE,DORCHESTER,IA,52140,43.47904,-91.5182,1,948208
107 SIXTH STREET NW,WAUKON,IA,52172,43.29003,-91.4458,0.33,948209
953 THIRD AVE NW,WAUKON,IA,52172,43.27204,-91.489,1,948210
1059 3RD AVE NW,WAUKON,IA,52172,43.27204,-91.4905,1,948211
314 W POST ST,POSTVILLE,IA,52162,43.08331,-91.5733,1,948212
314 W POST ST,POSTVILLE,IA,52162,43.08331,-91.5733,1,948213
115 MAIN ST,WATERVILLE,IA,52170,43.21413,-91.2965,1,948214
234 N 4TH ST,HARPERS FERRY,IA,52146,43.19969,-91.1531,0.6,948215
377 MAIN ST,LANSING,IA,52151,43.36166,-91.2176,1,948216
137 RAILROAD AVE,NEW ALBIN,IA,52160,43.49873,-91.2875,1,948217
107 SIXTH STREET NW,WAUKON,IA,52172,43.29003,-91.4458,0.33,948218
104 WALNUT ST E,NUMA,IA,52544,40.68911,-92.9767,0.9,946557
112 W MAIN ST,EXLINE,IA,52555,40.64804,-92.8404,0.5,946561
600 CHS DR,CENTERVILLE,IA,52544,40.68645,-92.8816,0.33,946558
600 CHS DR,CENTERVILLE,IA,52544,40.68645,-92.8816,0.33,946559
1800 S 11TH ST,CENTERVILLE,IA,52544,40.74281,-92.8758,0.4,946560
311 3RD ST,PLANO,IA,52581,40.75475,-93.0469,0.6,946562
102 DEPOT LN,CINCINNATI,IA,52549,40.62692,-92.9531,0.33,946563
114 E CHARITON ST,MORAVIA,IA,52571,40.89097,-92.8133,1,946564
33214 415TH ST,UNIONVILLE,IA,52594,40.87791,-92.6492,1,946565
600 CHS DR,CENTERVILLE,IA,52544,40.68645,-92.8816,0.33,946567
300 WEST MAIN ST.,MYSTIC,IA,52574,40.77744,-92.9503,0.6,1950003
111 S MAIN ST,MOULTON,IA,52572,40.68402,-92.677,1,946569
600 TRACY ST.,AUDUBON,IA,50025,41.7169,-94.9285,1,946570
106 N. JEFFERSON ST.,EXIRA,IA,50076,41.59118,-94.8765,0.9,946571
610 13TH AVE,BELLE PLAINE,IA,52208,41.89017,-92.2685,1,946576
610 13TH AVE,BELLE PLAINE,IA,52208,41.89017,-92.2685,1,946577
610 13 AVE,BELLE PLAINE,IA,52208,41.89017,-92.2685,1,946578
203 COTTAGE ST NW,SHELLSBURG,IA,52332,42.09642,-91.8719,1,946575
500 1ST AVE,VAN HORNE,IA,52346,42.0077,-92.0911,1,946574
210 W 21ST ST,VINTON,IA,52349,42.15198,-92.0252,1,946579
210 W 21ST ST,VINTON,IA,52349,42.15198,-92.0252,1,946580
206 3RD AVE,NEWHALL,IA,52315,41.99253,-91.9658,1,946581
100 SCHOOL DR,NORWAY,IA,52318,41.90371,-91.9291,1,946582
217 4TH AVE,ATKINS,IA,52206,41.99443,-91.867,1,946583
201 E PINE ST,GARRISON,IA,52229,42.1424,-92.1414,0.8,946584
305 LOUCST ST NW,BLAIRSTOWN,IA,52209,41.90869,-92.0847,1,946585
280 4TH ST,KEYSTONE,IA,52249,42.00257,-92.1971,1,946586
202 W MAIN ST,URBANA,IA,52345,42.225,-91.8738,1,946587
210 W 21ST ST,VINTON,IA,52349,42.15198,-92.0252,1,946588
210 W 21ST ST,VINTON,IA,52349,42.15198,-92.0252,1,946589
210 W 21ST ST,VINTON,IA,52349,42.15198,-92.0252,1,946590
210 W 21ST ST,VINTON,IA,52349,42.15198,-92.0252,1,946591
120 5TH ST N,WALFORD,IA,52351,41.87166,-91.8328,0.2,946592
115 W MAIN ST,DUNKERTON,IA,50626,42.57216,-92.1609,1,1593422
203 E TOWER ST,DUNKERTON,IA,50626,42.56824,-92.1593,1,946594
515 FILMORE ST,LAPORTE CITY,IA,50651,42.30796,-92.1893,1,1593423
245 S WASHINGTON ST,HUDSON,IA,50643,42.40003,-92.4551,1,1593425
245 S WASHINGTON ST,HUDSON,IA,50643,42.40003,-92.4551,1,1593426
2419 FERN AVE,CEDAR FALLS,IA,50613,42.5578,-92.4528,1,946641
321 W 8TH ST,CEDAR FALLS,IA,50613,42.53156,-92.4483,1,946642
321 W 8TH ST,CEDAR FALLS,IA,50613,42.53156,-92.4483,1,946643
2526 ASHWORTH DR,CEDAR FALLS,IA,50613,42.49316,-92.4777,1,946644
2526 ASHWORTH DR,CEDAR FALLS,IA,50613,42.49316,-92.4777,1,946645
627 ORCHARD DR,CEDAR FALLS,IA,50613,42.50507,-92.4384,1,946646
616 HOLMES DR,CEDAR FALLS,IA,50613,42.53409,-92.4703,1,946647
616 HOLMES DR,CEDAR FALLS,IA,50613,42.53409,-92.4703,1,946648
063 SABIN-MAUCKER,CEDAR FALLS,IA,50613,42.51709,-92.4359,0.33,946649
3909 ROWND ST,CEDAR FALLS,IA,50613,42.50302,-92.4223,1,946650
